id,server,command,response_time
1708352740712624059,172.16.238.122,rdi,0.00808338999922853
1708352740795159206,172.16.238.122,rir,0.012585481999849435
1708352740889340261,172.16.238.122,rhr,0.008401285998843377
1708352740975833949,172.16.238.123,rc,0.008593061000283342
1708352741062428527,172.16.238.123,rdi,0.013065725999695132
1708352741151313405,172.16.238.123,rir,0.012180767000245396
1708352741241217187,172.16.238.123,rhr,0.01645332099906227
1708352741335368444,172.16.238.124,rc,0.00981843900081003
1708352741424243637,172.16.238.124,rdi,0.008462630999929388
1708352741508646103,172.16.238.124,rir,0.010283764999257983
1708352741597354040,172.16.238.124,rhr,0.007949888000439387
1708352742776436328,172.16.238.122,rdi,0.009877676000542124
1708352742859057259,172.16.238.122,rir,0.008309544000439928
1708352742940479800,172.16.238.122,rhr,0.007821808001608588
1708352743021496553,172.16.238.123,rc,0.007997337001143023
1708352743104221762,172.16.238.123,rdi,0.013614643999972031
1708352743195378943,172.16.238.123,rir,0.012090766000255826
1708352743287495045,172.16.238.123,rhr,0.019168447999618365
1708352743383503955,172.16.238.124,rc,0.008004719000382465
1708352743464318353,172.16.238.124,rdi,0.008103348998702131
1708352743546582050,172.16.238.124,rir,0.008174410999345127
1708352743631787245,172.16.238.124,rhr,0.008610685999883572
1708352744796784586,172.16.238.122,rdi,0.010155562998988898
1708352744880857734,172.16.238.122,rir,0.007933591999972123
1708352744961762327,172.16.238.122,rhr,0.008836527000312344
1708352745042887007,172.16.238.123,rc,0.007809435999661218
1708352745121757138,172.16.238.123,rdi,0.008144491999701131
1708352745200752624,172.16.238.123,rir,0.007573542001409805
1708352745278850126,172.16.238.123,rhr,0.007819501999620115
1708352745358774564,172.16.238.124,rc,0.007751389000986819
1708352745437425919,172.16.238.124,rdi,0.013019953001276008
1708352745520956691,172.16.238.124,rir,0.00765072899957886
1708352745598916454,172.16.238.124,rhr,0.007644508999874233
1708352746764250917,172.16.238.122,rdi,0.008204978999856394
1708352746846816092,172.16.238.122,rir,0.00793568500012043
1708352746927580421,172.16.238.122,rhr,0.010856326000066474
1708352747013263159,172.16.238.123,rc,0.009037476000230527
1708352747095857668,172.16.238.123,rdi,0.008244124999691849
1708352747176931754,172.16.238.123,rir,0.008089875998848584
