id,server,command,response_time
1708352220498513170,172.16.238.120,rc,0.0007214930010377429
1708352220571333183,172.16.238.120,rdi,0.0007021780002105515
1708352220645832544,172.16.238.120,rir,0.0007324130001507001
1708352220718638718,172.16.238.120,rhr,0.0007385919998341706
1708352220863133617,172.16.238.121,rdi,0.0007368549995590001
1708352220936182687,172.16.238.121,rir,0.0007193980000010924
1708352221009131221,172.16.238.121,rhr,0.00075632200059772
1708352221157182820,172.16.238.122,rdi,0.0007296789990505204
1708352221232348410,172.16.238.122,rir,0.000752622001527925
1708352221308607040,172.16.238.122,rhr,0.0006727179988956777
1708352221382939092,172.16.238.123,rc,0.0007628180010215146
1708352221456606353,172.16.238.123,rdi,0.0007041770004434511
1708352221531551836,172.16.238.123,rir,0.0007360440013144398
1708352221608796661,172.16.238.123,rhr,0.00072105699837266
1708352221685603915,172.16.238.124,rc,0.0007643830012966646
1708352221758970337,172.16.238.124,rdi,0.000703930001691333
1708352221830125425,172.16.238.124,rir,0.0007312670004466781
1708352221900787267,172.16.238.124,rhr,0.0007193130004452541
1708352222974218498,172.16.238.120,rc,0.0006775170004402753
1708352223048655181,172.16.238.120,rdi,0.0007291439997061389
1708352223122081162,172.16.238.120,rir,0.000783796000177972
1708352223195745537,172.16.238.120,rhr,0.0007922219992906321
1708352223346235359,172.16.238.121,rdi,0.000719069999831845
1708352223419682986,172.16.238.121,rir,0.0007054479992802953
1708352223495042026,172.16.238.121,rhr,0.0007505789999413537
1708352223638227582,172.16.238.122,rdi,0.0007465630005754065
1708352223709359902,172.16.238.122,rir,0.000727976999769453
1708352223780757306,172.16.238.122,rhr,0.0007182089993875707
1708352223850694692,172.16.238.123,rc,0.0006931389998499071
1708352223922906913,172.16.238.123,rdi,0.0007385259996226523
1708352223994946431,172.16.238.123,rir,0.0007305420003831387
1708352224066032010,172.16.238.123,rhr,0.0008155599989549955
1708352224137200267,172.16.238.124,rc,0.000744255001336569
1708352224208564668,172.16.238.124,rdi,0.0007058490009512752
1708352224279995630,172.16.238.124,rir,0.000722314000086044
1708352224353006234,172.16.238.124,rhr,0.0007554690000688424
1708352225427045843,172.16.238.120,rc,0.0008012269991013454
1708352225498077763,172.16.238.120,rdi,0.0007244360003824113
1708352225569222025,172.16.238.120,rir,0.0007069899984344374
1708352225641923547,172.16.238.120,rhr,0.0007125060001271777
1708352225786382504,172.16.238.121,rdi,0.0007052799992379732
1708352225857311000,172.16.238.121,rir,0.0007185699996625772
1708352225930461704,172.16.238.121,rhr,0.0007247550001920899
1708352226076881587,172.16.238.122,rdi,0.0008298660013679182
1708352226150574556,172.16.238.122,rir,0.0007583379992865957
1708352226222803769,172.16.238.122,rhr,0.0007170099997892976
1708352226295086387,172.16.238.123,rc,0.0007255529999383725
1708352226367608247,172.16.238.123,rdi,0.0007238390007842099
1708352226439871531,172.16.238.123,rir,0.00073712700032047
1708352226516677008,172.16.238.123,rhr,0.0007523889998992672
1708352226589848361,172.16.238.124,rc,0.0007151289992179954
1708352226662668893,172.16.238.124,rdi,0.0007357560007221764
1708352226735535224,172.16.238.124,rir,0.0007552629995188909
1708352226810377018,172.16.238.124,rhr,0.0007621620006830199
1708352227886451342,172.16.238.120,rc,0.0007740880009805551
1708352227959589467,172.16.238.120,rdi,0.0007333749999816064
1708352228034836090,172.16.238.120,rir,0.0007389530001091771
1708352228107696859,172.16.238.120,rhr,0.0007069969997246517
1708352228252772253,172.16.238.121,rdi,0.0006883690002723597
1708352228325481123,172.16.238.121,rir,0.0007359980008914135
1708352228398886595,172.16.238.121,rhr,0.0006732740002917126
1708352228545643815,172.16.238.122,rdi,0.0007080400009726873
1708352228619059027,172.16.238.122,rir,0.0007831839993741596
1708352228691526739,172.16.238.122,rhr,0.0006963560008443892
1708352228764553530,172.16.238.123,rc,0.0007173489993874682
1708352228839269815,172.16.238.123,rdi,0.0007532769996032584
1708352228912708722,172.16.238.123,rir,0.0007317179988604039
1708352228987341351,172.16.238.123,rhr,0.0006965490010770736
1708352229060701717,172.16.238.124,rc,0.0007370260009338381
1708352229133989036,172.16.238.124,rdi,0.0007230030005302979
1708352229207206465,172.16.238.124,rir,0.0007476589998987038
1708352229279834299,172.16.238.124,rhr,0.0007713569993939018
1708352230356000806,172.16.238.120,rc,0.000715121001121588
1708352230429674199,172.16.238.120,rdi,0.0007317090003198246
1708352230502577649,172.16.238.120,rir,0.0007214700017357245
1708352230575002834,172.16.238.120,rhr,0.0007169860000431072
1708352230720649417,172.16.238.121,rdi,0.0007501380005123792
